ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
4135908,2024-08-07T08:44:16-04:00,Hilton Worldwide declares $0.15 dividend,56260577,0,tag,,
4135702,2024-08-07T06:03:44-04:00,Hilton Worldwide beats top-line and bottom-line estimates; initiates Q3 and updates FY24 outlook,52365730,0,tag,,
4135173,2024-08-06T13:22:34-04:00,Hilton Worldwide Q2 2024 Earnings Preview,54603272,0,tag,,
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
4135908,2024-08-07T08:44:16-04:00,Hilton Worldwide declares $0.15 dividend,56260577,0,tag,,
4135702,2024-08-07T06:03:44-04:00,Hilton Worldwide beats top-line and bottom-line estimates; initiates Q3 and updates FY24 outlook,52365730,0,tag,,
4135173,2024-08-06T13:22:34-04:00,Hilton Worldwide Q2 2024 Earnings Preview,54603272,0,tag,,
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
4135908,2024-08-07T08:44:16-04:00,Hilton Worldwide declares $0.15 dividend,56260577,0,tag,,
4135702,2024-08-07T06:03:44-04:00,Hilton Worldwide beats top-line and bottom-line estimates; initiates Q3 and updates FY24 outlook,52365730,0,tag,,
4135173,2024-08-06T13:22:34-04:00,Hilton Worldwide Q2 2024 Earnings Preview,54603272,0,tag,,
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
4135908,2024-08-07T08:44:16-04:00,Hilton Worldwide declares $0.15 dividend,56260577,0,tag,,
4135702,2024-08-07T06:03:44-04:00,Hilton Worldwide beats top-line and bottom-line estimates; initiates Q3 and updates FY24 outlook,52365730,0,tag,,
4135173,2024-08-06T13:22:34-04:00,Hilton Worldwide Q2 2024 Earnings Preview,54603272,0,tag,,
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
4135908,2024-08-07T08:44:16-04:00,Hilton Worldwide declares $0.15 dividend,56260577,0,tag,,
4135702,2024-08-07T06:03:44-04:00,Hilton Worldwide beats top-line and bottom-line estimates; initiates Q3 and updates FY24 outlook,52365730,0,tag,,
4135173,2024-08-06T13:22:34-04:00,Hilton Worldwide Q2 2024 Earnings Preview,54603272,0,tag,,
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
4135908,2024-08-07T08:44:16-04:00,Hilton Worldwide declares $0.15 dividend,56260577,0,tag,,
4135702,2024-08-07T06:03:44-04:00,Hilton Worldwide beats top-line and bottom-line estimates; initiates Q3 and updates FY24 outlook,52365730,0,tag,,
4135173,2024-08-06T13:22:34-04:00,Hilton Worldwide Q2 2024 Earnings Preview,54603272,0,tag,,
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
4135908,2024-08-07T08:44:16-04:00,Hilton Worldwide declares $0.15 dividend,56260577,0,tag,,
4135702,2024-08-07T06:03:44-04:00,Hilton Worldwide beats top-line and bottom-line estimates; initiates Q3 and updates FY24 outlook,52365730,0,tag,,
4135173,2024-08-06T13:22:34-04:00,Hilton Worldwide Q2 2024 Earnings Preview,54603272,0,tag,,
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
4135908,2024-08-07T08:44:16-04:00,Hilton Worldwide declares $0.15 dividend,56260577,0,tag,,
4135702,2024-08-07T06:03:44-04:00,Hilton Worldwide beats top-line and bottom-line estimates; initiates Q3 and updates FY24 outlook,52365730,0,tag,,
4135173,2024-08-06T13:22:34-04:00,Hilton Worldwide Q2 2024 Earnings Preview,54603272,0,tag,,
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
4135908,2024-08-07T08:44:16-04:00,Hilton Worldwide declares $0.15 dividend,56260577,0,tag,,
4135702,2024-08-07T06:03:44-04:00,Hilton Worldwide beats top-line and bottom-line estimates; initiates Q3 and updates FY24 outlook,52365730,0,tag,,
4135173,2024-08-06T13:22:34-04:00,Hilton Worldwide Q2 2024 Earnings Preview,54603272,0,tag,,
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
4135908,2024-08-07T08:44:16-04:00,Hilton Worldwide declares $0.15 dividend,56260577,0,tag,,
4135702,2024-08-07T06:03:44-04:00,Hilton Worldwide beats top-line and bottom-line estimates; initiates Q3 and updates FY24 outlook,52365730,0,tag,,
4135173,2024-08-06T13:22:34-04:00,Hilton Worldwide Q2 2024 Earnings Preview,54603272,0,tag,,
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
4135908,2024-08-07T08:44:16-04:00,Hilton Worldwide declares $0.15 dividend,56260577,0,tag,,
4135702,2024-08-07T06:03:44-04:00,Hilton Worldwide beats top-line and bottom-line estimates; initiates Q3 and updates FY24 outlook,52365730,0,tag,,
4135173,2024-08-06T13:22:34-04:00,Hilton Worldwide Q2 2024 Earnings Preview,54603272,0,tag,,
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
4135908,2024-08-07T08:44:16-04:00,Hilton Worldwide declares $0.15 dividend,56260577,0,tag,,
4135702,2024-08-07T06:03:44-04:00,Hilton Worldwide beats top-line and bottom-line estimates; initiates Q3 and updates FY24 outlook,52365730,0,tag,,
4135173,2024-08-06T13:22:34-04:00,Hilton Worldwide Q2 2024 Earnings Preview,54603272,0,tag,,
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
4135908,2024-08-07T08:44:16-04:00,Hilton Worldwide declares $0.15 dividend,56260577,0,tag,,
4135702,2024-08-07T06:03:44-04:00,Hilton Worldwide beats top-line and bottom-line estimates; initiates Q3 and updates FY24 outlook,52365730,0,tag,,
4135173,2024-08-06T13:22:34-04:00,Hilton Worldwide Q2 2024 Earnings Preview,54603272,0,tag,,
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
4135908,2024-08-07T08:44:16-04:00,Hilton Worldwide declares $0.15 dividend,56260577,0,tag,,
4135702,2024-08-07T06:03:44-04:00,Hilton Worldwide beats top-line and bottom-line estimates; initiates Q3 and updates FY24 outlook,52365730,0,tag,,
4135173,2024-08-06T13:22:34-04:00,Hilton Worldwide Q2 2024 Earnings Preview,54603272,0,tag,,
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
4135908,2024-08-07T08:44:16-04:00,Hilton Worldwide declares $0.15 dividend,56260577,0,tag,,
4135702,2024-08-07T06:03:44-04:00,Hilton Worldwide beats top-line and bottom-line estimates; initiates Q3 and updates FY24 outlook,52365730,0,tag,,
4135173,2024-08-06T13:22:34-04:00,Hilton Worldwide Q2 2024 Earnings Preview,54603272,0,tag,,
4147525,2024-09-05T17:38:10-04:00,Hilton subsidiary prices $1B debt offering,60812553,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4147231,2024-09-05T08:09:24-04:00,Hilton subsidiary proposes $1B debt offering,54434154,0,tag,,
4146058,2024-09-03T07:51:51-04:00,The hotel workers strike in the U.S. could expand to new cities this week,954720,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212844035/image_1212844035.jpg
4145793,2024-09-01T13:27:09-04:00,Hotel workers strike in U.S. during Labor Day weekend,57065721,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1037643214/image_1037643214.jpg
4140116,2024-08-14T17:37:43-04:00,"Pershing Square reveals Nike stake among Q2 moves, shoe giant's shares rise 4% after hours",56228617,26,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1303311187/image_1303311187.jpg
4138000,2024-08-09T08:05:01-04:00,"Dividend Roundup: Prudential Financial, Progressive, Alcoa, Eli Lilly, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4135977,2024-08-07T09:35:32-04:00,"Hilton cuts FY profit forecast, posts Q2 results beat",57442451,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1370928126/image_1370928126.jpg
