ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4151278,2024-09-19T12:45:11-04:00,Pivotal reiterates 'buy' on Spotify but hikes PT by $50; shares rise,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4150149,2024-09-16T17:50:21-04:00,"Spotify can reach 1B monthly users, 400M premium subscribers by end of 2030, KeyBanc says",60942763,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1783835425/image_1783835425.jpg
4148683,2024-09-11T09:47:51-04:00,Ad spending expected to shift as economic downturn looms -- analyst,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1193132134/image_1193132134.jpg
4148456,2024-09-10T15:45:35-04:00,"AT&T, Amazon, and Spotify among UBS' top TMT stocks for 2024",57442451,19,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/153238020/image_153238020.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4143388,2024-08-23T11:56:41-04:00,"Meta, Spotify CEOs slam AI regulation in the EU",59062064,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1178141587/image_1178141587.jpg
4139719,2024-08-14T08:27:37-04:00,Spotify to add price information in-app on Apple's App Store in EU,54324280,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4155524,2024-10-02T10:16:28-04:00,Spotify's global music head to leave in February,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4154354,2024-09-29T15:53:30-04:00,Spotify restores service after brief outage affecting 40K users in US,60942763,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4153129,2024-09-25T10:18:08-04:00,TikTok shuttering its music service 'a clear positive' for Spotify - Deutsche Bank,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4152900,2024-09-24T16:39:03-04:00,TikTok's music service to shut down after two years of struggling operation,57442451,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273915546/image_1273915546.jpg
4151278,2024-09-19T12:45:11-04:00,Pivotal reiterates 'buy' on Spotify but hikes PT by $50; shares rise,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4150149,2024-09-16T17:50:21-04:00,"Spotify can reach 1B monthly users, 400M premium subscribers by end of 2030, KeyBanc says",60942763,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1783835425/image_1783835425.jpg
4148683,2024-09-11T09:47:51-04:00,Ad spending expected to shift as economic downturn looms -- analyst,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1193132134/image_1193132134.jpg
4148456,2024-09-10T15:45:35-04:00,"AT&T, Amazon, and Spotify among UBS' top TMT stocks for 2024",57442451,19,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/153238020/image_153238020.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4143388,2024-08-23T11:56:41-04:00,"Meta, Spotify CEOs slam AI regulation in the EU",59062064,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1178141587/image_1178141587.jpg
4139719,2024-08-14T08:27:37-04:00,Spotify to add price information in-app on Apple's App Store in EU,54324280,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4155524,2024-10-02T10:16:28-04:00,Spotify's global music head to leave in February,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4154354,2024-09-29T15:53:30-04:00,Spotify restores service after brief outage affecting 40K users in US,60942763,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4153129,2024-09-25T10:18:08-04:00,TikTok shuttering its music service 'a clear positive' for Spotify - Deutsche Bank,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4152900,2024-09-24T16:39:03-04:00,TikTok's music service to shut down after two years of struggling operation,57442451,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273915546/image_1273915546.jpg
4151278,2024-09-19T12:45:11-04:00,Pivotal reiterates 'buy' on Spotify but hikes PT by $50; shares rise,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4150149,2024-09-16T17:50:21-04:00,"Spotify can reach 1B monthly users, 400M premium subscribers by end of 2030, KeyBanc says",60942763,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1783835425/image_1783835425.jpg
4148683,2024-09-11T09:47:51-04:00,Ad spending expected to shift as economic downturn looms -- analyst,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1193132134/image_1193132134.jpg
4148456,2024-09-10T15:45:35-04:00,"AT&T, Amazon, and Spotify among UBS' top TMT stocks for 2024",57442451,19,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/153238020/image_153238020.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4143388,2024-08-23T11:56:41-04:00,"Meta, Spotify CEOs slam AI regulation in the EU",59062064,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1178141587/image_1178141587.jpg
4139719,2024-08-14T08:27:37-04:00,Spotify to add price information in-app on Apple's App Store in EU,54324280,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4155524,2024-10-02T10:16:28-04:00,Spotify's global music head to leave in February,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4154354,2024-09-29T15:53:30-04:00,Spotify restores service after brief outage affecting 40K users in US,60942763,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4153129,2024-09-25T10:18:08-04:00,TikTok shuttering its music service 'a clear positive' for Spotify - Deutsche Bank,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4152900,2024-09-24T16:39:03-04:00,TikTok's music service to shut down after two years of struggling operation,57442451,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273915546/image_1273915546.jpg
4151278,2024-09-19T12:45:11-04:00,Pivotal reiterates 'buy' on Spotify but hikes PT by $50; shares rise,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4150149,2024-09-16T17:50:21-04:00,"Spotify can reach 1B monthly users, 400M premium subscribers by end of 2030, KeyBanc says",60942763,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1783835425/image_1783835425.jpg
4148683,2024-09-11T09:47:51-04:00,Ad spending expected to shift as economic downturn looms -- analyst,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1193132134/image_1193132134.jpg
4148456,2024-09-10T15:45:35-04:00,"AT&T, Amazon, and Spotify among UBS' top TMT stocks for 2024",57442451,19,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/153238020/image_153238020.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4143388,2024-08-23T11:56:41-04:00,"Meta, Spotify CEOs slam AI regulation in the EU",59062064,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1178141587/image_1178141587.jpg
4139719,2024-08-14T08:27:37-04:00,Spotify to add price information in-app on Apple's App Store in EU,54324280,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4155524,2024-10-02T10:16:28-04:00,Spotify's global music head to leave in February,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4154354,2024-09-29T15:53:30-04:00,Spotify restores service after brief outage affecting 40K users in US,60942763,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4153129,2024-09-25T10:18:08-04:00,TikTok shuttering its music service 'a clear positive' for Spotify - Deutsche Bank,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4152900,2024-09-24T16:39:03-04:00,TikTok's music service to shut down after two years of struggling operation,57442451,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273915546/image_1273915546.jpg
4151278,2024-09-19T12:45:11-04:00,Pivotal reiterates 'buy' on Spotify but hikes PT by $50; shares rise,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4150149,2024-09-16T17:50:21-04:00,"Spotify can reach 1B monthly users, 400M premium subscribers by end of 2030, KeyBanc says",60942763,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1783835425/image_1783835425.jpg
4148683,2024-09-11T09:47:51-04:00,Ad spending expected to shift as economic downturn looms -- analyst,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1193132134/image_1193132134.jpg
4148456,2024-09-10T15:45:35-04:00,"AT&T, Amazon, and Spotify among UBS' top TMT stocks for 2024",57442451,19,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/153238020/image_153238020.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4143388,2024-08-23T11:56:41-04:00,"Meta, Spotify CEOs slam AI regulation in the EU",59062064,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1178141587/image_1178141587.jpg
4139719,2024-08-14T08:27:37-04:00,Spotify to add price information in-app on Apple's App Store in EU,54324280,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4155524,2024-10-02T10:16:28-04:00,Spotify's global music head to leave in February,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4154354,2024-09-29T15:53:30-04:00,Spotify restores service after brief outage affecting 40K users in US,60942763,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4153129,2024-09-25T10:18:08-04:00,TikTok shuttering its music service 'a clear positive' for Spotify - Deutsche Bank,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4152900,2024-09-24T16:39:03-04:00,TikTok's music service to shut down after two years of struggling operation,57442451,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273915546/image_1273915546.jpg
4151278,2024-09-19T12:45:11-04:00,Pivotal reiterates 'buy' on Spotify but hikes PT by $50; shares rise,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4150149,2024-09-16T17:50:21-04:00,"Spotify can reach 1B monthly users, 400M premium subscribers by end of 2030, KeyBanc says",60942763,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1783835425/image_1783835425.jpg
4148683,2024-09-11T09:47:51-04:00,Ad spending expected to shift as economic downturn looms -- analyst,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1193132134/image_1193132134.jpg
4148456,2024-09-10T15:45:35-04:00,"AT&T, Amazon, and Spotify among UBS' top TMT stocks for 2024",57442451,19,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/153238020/image_153238020.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4143388,2024-08-23T11:56:41-04:00,"Meta, Spotify CEOs slam AI regulation in the EU",59062064,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1178141587/image_1178141587.jpg
4139719,2024-08-14T08:27:37-04:00,Spotify to add price information in-app on Apple's App Store in EU,54324280,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4155524,2024-10-02T10:16:28-04:00,Spotify's global music head to leave in February,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4154354,2024-09-29T15:53:30-04:00,Spotify restores service after brief outage affecting 40K users in US,60942763,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4153129,2024-09-25T10:18:08-04:00,TikTok shuttering its music service 'a clear positive' for Spotify - Deutsche Bank,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4152900,2024-09-24T16:39:03-04:00,TikTok's music service to shut down after two years of struggling operation,57442451,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273915546/image_1273915546.jpg
4151278,2024-09-19T12:45:11-04:00,Pivotal reiterates 'buy' on Spotify but hikes PT by $50; shares rise,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4150149,2024-09-16T17:50:21-04:00,"Spotify can reach 1B monthly users, 400M premium subscribers by end of 2030, KeyBanc says",60942763,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1783835425/image_1783835425.jpg
4148683,2024-09-11T09:47:51-04:00,Ad spending expected to shift as economic downturn looms -- analyst,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1193132134/image_1193132134.jpg
4148456,2024-09-10T15:45:35-04:00,"AT&T, Amazon, and Spotify among UBS' top TMT stocks for 2024",57442451,19,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/153238020/image_153238020.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4143388,2024-08-23T11:56:41-04:00,"Meta, Spotify CEOs slam AI regulation in the EU",59062064,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1178141587/image_1178141587.jpg
4139719,2024-08-14T08:27:37-04:00,Spotify to add price information in-app on Apple's App Store in EU,54324280,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4155524,2024-10-02T10:16:28-04:00,Spotify's global music head to leave in February,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4154354,2024-09-29T15:53:30-04:00,Spotify restores service after brief outage affecting 40K users in US,60942763,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4153129,2024-09-25T10:18:08-04:00,TikTok shuttering its music service 'a clear positive' for Spotify - Deutsche Bank,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4152900,2024-09-24T16:39:03-04:00,TikTok's music service to shut down after two years of struggling operation,57442451,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273915546/image_1273915546.jpg
4151278,2024-09-19T12:45:11-04:00,Pivotal reiterates 'buy' on Spotify but hikes PT by $50; shares rise,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4150149,2024-09-16T17:50:21-04:00,"Spotify can reach 1B monthly users, 400M premium subscribers by end of 2030, KeyBanc says",60942763,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1783835425/image_1783835425.jpg
4148683,2024-09-11T09:47:51-04:00,Ad spending expected to shift as economic downturn looms -- analyst,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1193132134/image_1193132134.jpg
4148456,2024-09-10T15:45:35-04:00,"AT&T, Amazon, and Spotify among UBS' top TMT stocks for 2024",57442451,19,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/153238020/image_153238020.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4143388,2024-08-23T11:56:41-04:00,"Meta, Spotify CEOs slam AI regulation in the EU",59062064,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1178141587/image_1178141587.jpg
4139719,2024-08-14T08:27:37-04:00,Spotify to add price information in-app on Apple's App Store in EU,54324280,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4154354,2024-09-29T15:53:30-04:00,Spotify restores service after brief outage affecting 40K users in US,60942763,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4153129,2024-09-25T10:18:08-04:00,TikTok shuttering its music service 'a clear positive' for Spotify - Deutsche Bank,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4152900,2024-09-24T16:39:03-04:00,TikTok's music service to shut down after two years of struggling operation,57442451,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273915546/image_1273915546.jpg
4151278,2024-09-19T12:45:11-04:00,Pivotal reiterates 'buy' on Spotify but hikes PT by $50; shares rise,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4150149,2024-09-16T17:50:21-04:00,"Spotify can reach 1B monthly users, 400M premium subscribers by end of 2030, KeyBanc says",60942763,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1783835425/image_1783835425.jpg
4148683,2024-09-11T09:47:51-04:00,Ad spending expected to shift as economic downturn looms -- analyst,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1193132134/image_1193132134.jpg
4148456,2024-09-10T15:45:35-04:00,"AT&T, Amazon, and Spotify among UBS' top TMT stocks for 2024",57442451,19,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/153238020/image_153238020.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4143388,2024-08-23T11:56:41-04:00,"Meta, Spotify CEOs slam AI regulation in the EU",59062064,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1178141587/image_1178141587.jpg
4139719,2024-08-14T08:27:37-04:00,Spotify to add price information in-app on Apple's App Store in EU,54324280,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4154354,2024-09-29T15:53:30-04:00,Spotify restores service after brief outage affecting 40K users in US,60942763,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4153129,2024-09-25T10:18:08-04:00,TikTok shuttering its music service 'a clear positive' for Spotify - Deutsche Bank,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4152900,2024-09-24T16:39:03-04:00,TikTok's music service to shut down after two years of struggling operation,57442451,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273915546/image_1273915546.jpg
4151278,2024-09-19T12:45:11-04:00,Pivotal reiterates 'buy' on Spotify but hikes PT by $50; shares rise,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4150149,2024-09-16T17:50:21-04:00,"Spotify can reach 1B monthly users, 400M premium subscribers by end of 2030, KeyBanc says",60942763,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1783835425/image_1783835425.jpg
4148683,2024-09-11T09:47:51-04:00,Ad spending expected to shift as economic downturn looms -- analyst,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1193132134/image_1193132134.jpg
4148456,2024-09-10T15:45:35-04:00,"AT&T, Amazon, and Spotify among UBS' top TMT stocks for 2024",57442451,19,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/153238020/image_153238020.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4143388,2024-08-23T11:56:41-04:00,"Meta, Spotify CEOs slam AI regulation in the EU",59062064,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1178141587/image_1178141587.jpg
4139719,2024-08-14T08:27:37-04:00,Spotify to add price information in-app on Apple's App Store in EU,54324280,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4154354,2024-09-29T15:53:30-04:00,Spotify restores service after brief outage affecting 40K users in US,60942763,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4153129,2024-09-25T10:18:08-04:00,TikTok shuttering its music service 'a clear positive' for Spotify - Deutsche Bank,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4152900,2024-09-24T16:39:03-04:00,TikTok's music service to shut down after two years of struggling operation,57442451,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273915546/image_1273915546.jpg
4151278,2024-09-19T12:45:11-04:00,Pivotal reiterates 'buy' on Spotify but hikes PT by $50; shares rise,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4150149,2024-09-16T17:50:21-04:00,"Spotify can reach 1B monthly users, 400M premium subscribers by end of 2030, KeyBanc says",60942763,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1783835425/image_1783835425.jpg
4148683,2024-09-11T09:47:51-04:00,Ad spending expected to shift as economic downturn looms -- analyst,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1193132134/image_1193132134.jpg
4148456,2024-09-10T15:45:35-04:00,"AT&T, Amazon, and Spotify among UBS' top TMT stocks for 2024",57442451,19,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/153238020/image_153238020.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4143388,2024-08-23T11:56:41-04:00,"Meta, Spotify CEOs slam AI regulation in the EU",59062064,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1178141587/image_1178141587.jpg
4139719,2024-08-14T08:27:37-04:00,Spotify to add price information in-app on Apple's App Store in EU,54324280,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4153129,2024-09-25T10:18:08-04:00,TikTok shuttering its music service 'a clear positive' for Spotify - Deutsche Bank,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4152900,2024-09-24T16:39:03-04:00,TikTok's music service to shut down after two years of struggling operation,57442451,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273915546/image_1273915546.jpg
4151278,2024-09-19T12:45:11-04:00,Pivotal reiterates 'buy' on Spotify but hikes PT by $50; shares rise,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4150149,2024-09-16T17:50:21-04:00,"Spotify can reach 1B monthly users, 400M premium subscribers by end of 2030, KeyBanc says",60942763,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1783835425/image_1783835425.jpg
4148683,2024-09-11T09:47:51-04:00,Ad spending expected to shift as economic downturn looms -- analyst,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1193132134/image_1193132134.jpg
4148456,2024-09-10T15:45:35-04:00,"AT&T, Amazon, and Spotify among UBS' top TMT stocks for 2024",57442451,19,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/153238020/image_153238020.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4143388,2024-08-23T11:56:41-04:00,"Meta, Spotify CEOs slam AI regulation in the EU",59062064,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1178141587/image_1178141587.jpg
4139719,2024-08-14T08:27:37-04:00,Spotify to add price information in-app on Apple's App Store in EU,54324280,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4153129,2024-09-25T10:18:08-04:00,TikTok shuttering its music service 'a clear positive' for Spotify - Deutsche Bank,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4152900,2024-09-24T16:39:03-04:00,TikTok's music service to shut down after two years of struggling operation,57442451,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273915546/image_1273915546.jpg
4151278,2024-09-19T12:45:11-04:00,Pivotal reiterates 'buy' on Spotify but hikes PT by $50; shares rise,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/941398404/image_941398404.jpg
4150149,2024-09-16T17:50:21-04:00,"Spotify can reach 1B monthly users, 400M premium subscribers by end of 2030, KeyBanc says",60942763,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1783835425/image_1783835425.jpg
4148683,2024-09-11T09:47:51-04:00,Ad spending expected to shift as economic downturn looms -- analyst,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1193132134/image_1193132134.jpg
4148456,2024-09-10T15:45:35-04:00,"AT&T, Amazon, and Spotify among UBS' top TMT stocks for 2024",57442451,19,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/153238020/image_153238020.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4143388,2024-08-23T11:56:41-04:00,"Meta, Spotify CEOs slam AI regulation in the EU",59062064,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1178141587/image_1178141587.jpg
4139719,2024-08-14T08:27:37-04:00,Spotify to add price information in-app on Apple's App Store in EU,54324280,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
4153129,2024-09-25T10:18:08-04:00,TikTok shuttering its music service 'a clear positive' for Spotify - Deutsche Bank,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1048258424/image_1048258424.jpg
